Timestamp,Pelvis_position_x,Pelvis_position_y,Pelvis_position_z,Chest_position_x,Chest_position_y,Chest_position_z,Head_position_x,Head_position_y,Head_position_z,LeftUpperLeg_position_x,LeftUpperLeg_position_y,LeftUpperLeg_position_z,LeftLowerLeg_position_x,LeftLowerLeg_position_y,LeftLowerLeg_position_z,LeftFoot_position_x,LeftFoot_position_y,LeftFoot_position_z,RightUpperLeg_position_x,RightUpperLeg_position_y,RightUpperLeg_position_z,RightLowerLeg_position_x,RightLowerLeg_position_y,RightLowerLeg_position_z,RightFoot_position_x,RightFoot_position_y,RightFoot_position_z,LeftShoulder_position_x,LeftShoulder_position_y,LeftShoulder_position_z,LeftUpperArm_position_x,LeftUpperArm_position_y,LeftUpperArm_position_z,LeftForeArm_position_x,LeftForeArm_position_y,LeftForeArm_position_z,RightShoulder_position_x,RightShoulder_position_y,RightShoulder_position_z,RightUpperArm_position_x,RightUpperArm_position_y,RightUpperArm_position_z,RightForeArm_position_x,RightForeArm_position_y,RightForeArm_position_z,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,RightHand_position_x,RightHand_position_y,RightHand_position_z
0,0.7936075,1.914037,5.206675e-15,0.7439083,2.273441,-0.05554075,0.6915522,2.581152,-0.07074236,0.7172784,1.899907,-0.02313462,0.7400172,1.469457,-0.05177141,0.7628086,1.038011,-0.08047449,0.8699366,1.928167,0.02313462,0.8868027,1.49779,-0.010257,0.9037078,1.066417,-0.04372599,0.6545666,2.385393,-0.03879872,0.5219999,2.363186,-0.03173448,0.5214254,2.110213,0.03249358,0.7932419,2.408623,-0.04618862,0.9258086,2.43083,-0.05325285,1.018788,2.199178,0.02299466,0.5154878,2.052251,0.3155604,0.9987541,2.17307,0.3101156
33,0.7961353,0.9527296,0.0108334,0.7472827,1.313834,-0.03324955,0.6957235,1.622007,-0.03863482,0.719717,0.9395356,-0.01255821,0.7343485,0.509622,0.02724341,0.8121582,0.1182697,-0.1409175,0.8725536,0.9659237,0.03422501,0.9070606,0.5419446,-0.04110755,0.9416475,0.1169839,-0.1166146,0.6585765,1.425502,-0.01187816,0.5260591,1.403479,-0.00344996,0.527372,1.149874,0.05823093,0.7972002,1.448541,-0.02069486,0.9297177,1.470564,-0.02912305,1.020757,1.236974,0.04346468,0.5169811,1.09409,0.3416064,1.000946,1.218432,0.3311886
67,0.7992771,0.9505348,0.02352435,0.7514119,1.313088,-0.007947047,0.7007578,1.621411,-0.002568589,0.7227749,0.9383794,-0.0001536235,0.7336801,0.5079404,0.0348797,0.8130358,0.1197791,-0.1398273,0.8757794,0.9626902,0.04720232,0.9092932,0.5398031,-0.03445113,0.9428847,0.1159369,-0.1162936,0.6634151,1.424245,0.01843389,0.5309794,1.402316,0.02827463,0.5346045,1.148152,0.08750932,0.8019534,1.447185,0.008139565,0.9343892,1.469115,-0.001701178,1.022718,1.233579,0.06788612,0.5186933,1.093865,0.3709196,1.003295,1.223542,0.3560586
100,0.8024955,0.9484607,0.0365009,0.7556512,1.311882,0.0151302,0.7058324,1.620074,0.02907651,0.7259847,0.9371825,0.01241969,0.73321,0.5062634,0.04209226,0.8139634,0.1212,-0.1387229,0.8790063,0.9597389,0.06058212,0.909247,0.5349566,-0.01200921,0.9440434,0.1160011,-0.1157137,0.668213,1.422511,0.04531787,0.5358315,1.40063,0.05596433,0.5412222,1.146108,0.1135048,0.8066946,1.4454,0.0341807,0.9390761,1.467281,0.02353423,1.024736,1.230403,0.09188928,0.5200549,1.092412,0.3966839,1.0056,1.226985,0.3802356
133,0.8048766,0.9469149,0.04732581,0.7590909,1.310752,0.03143375,0.7099978,1.618818,0.04996789,0.7284672,0.9362221,0.02266274,0.7329023,0.5049558,0.04743481,0.814778,0.1222502,-0.1378269,0.881286,0.9576076,0.07198889,0.9085422,0.5313581,0.007239506,0.9449219,0.1175194,-0.1148391,0.6719579,1.421124,0.06339043,0.539546,1.399387,0.07395393,0.5453856,1.144684,0.1306415,0.8104712,1.443862,0.05234004,0.9428831,1.465598,0.04177652,1.026699,1.228175,0.1105245,0.5205855,1.09025,0.4133844,1.007437,1.228117,0.3988825
167,0.8059762,0.9460341,0.05447109,0.7612138,1.310038,0.03952029,0.7127367,1.618158,0.05876939,0.7297363,0.9356197,0.02917255,0.7326473,0.5041577,0.05052979,0.8153221,0.122861,-0.1372646,0.8822161,0.9564486,0.07976964,0.9080797,0.52984,0.01683963,0.945466,0.118807,-0.1140926,0.6741857,1.420512,0.07141265,0.5416774,1.399047,0.08130015,0.5467082,1.144264,0.1377094,0.8127999,1.442967,0.06106941,0.9453083,1.464432,0.0511819,1.028407,1.227004,0.1207794,0.5203466,1.08806,0.4199642,1.008641,1.227625,0.4091028
200,0.8058828,0.9458181,0.05728598,0.7619266,1.309832,0.04031189,0.7139034,1.618129,0.05777107,0.7298065,0.9354286,0.03148921,0.7324483,0.503899,0.05147064,0.8155075,0.1230573,-0.1370758,0.881959,0.9562075,0.08308274,0.9074615,0.5294608,0.02094691,0.9455994,0.1196687,-0.1136082,0.6749071,1.420617,0.07112744,0.5423002,1.399442,0.08029199,0.5460744,1.144621,0.1366209,0.8136244,1.442768,0.06154046,0.9462313,1.463943,0.0523759,1.029481,1.226631,0.1221883,0.5195709,1.086244,0.4184212,1.009209,1.22653,0.410477
233,0.8052157,0.9461554,0.05604228,0.761728,1.310078,0.03616277,0.7139611,1.618547,0.05111225,0.7292431,0.9356536,0.02998707,0.7325005,0.504155,0.05054085,0.8153771,0.1228891,-0.1372272,0.8811883,0.9566572,0.08209748,0.906912,0.5297821,0.02094254,0.9454591,0.1199771,-0.1134566,0.6747022,1.421182,0.06579334,0.542037,1.400212,0.07458004,0.5449898,1.145339,0.1307262,0.8134804,1.443117,0.05660161,0.9461456,1.464086,0.04781489,1.02974,1.226745,0.1171152,0.5183638,1.085147,0.4121326,1.009314,1.225581,0.4053907
267,0.8047303,0.9468266,0.05197053,0.761369,1.310633,0.02981882,0.7136961,1.619204,0.04283723,0.728765,0.936188,0.02594959,0.7329445,0.504783,0.04822558,0.8150973,0.1224181,-0.1376161,0.8806956,0.9574651,0.07799146,0.9068267,0.5304959,0.01767188,0.9452609,0.1196822,-0.1136445,0.6743703,1.421947,0.05873416,0.5416961,1.401074,0.06761453,0.5445868,1.146144,0.1235016,0.8131582,1.443781,0.04944447,0.9458324,1.464653,0.04056409,1.02933,1.227092,0.1092263,0.5168813,1.084824,0.4045602,1.009177,1.225284,0.3975178
300,0.8047522,0.9476297,0.046358,0.7612371,1.311338,0.02293238,0.713569,1.619952,0.03491601,0.7286788,0.9368757,0.02070272,0.7335954,0.5055929,0.04509586,0.8148389,0.1217614,-0.1381033,0.8808255,0.9583838,0.07201327,0.9073949,0.5314269,0.01179788,0.9450679,0.1188554,-0.114117,0.6743196,1.422753,0.05170183,0.5416776,1.4019,0.06109539,0.5449932,1.14699,0.1170528,0.8130736,1.444566,0.04187529,0.9457157,1.465418,0.03248172,1.028531,1.227501,0.1007337,0.5155614,1.085006,0.39779,1.008894,1.225982,0.3890624
333,0.805116,0.9483539,0.04074852,0.7613073,1.311981,0.01661358,0.7136291,1.620613,0.0280749,0.728856,0.9375035,0.01569518,0.7341254,0.5063375,0.04200436,0.8146783,0.1211091,-0.1385486,0.881376,0.9592044,0.06580187,0.908378,0.5323919,0.004761379,0.9448473,0.1177993,-0.1147043,0.6745114,1.423447,0.0455488,0.5419236,1.402589,0.05566883,0.5456549,1.147841,0.1123338,0.8132086,1.445266,0.03496231,0.9457964,1.466125,0.02484226,1.02764,1.227793,0.09281892,0.5150018,1.085172,0.3927883,1.008492,1.227513,0.3811845
