Timestamp,Pelvis_position_x,Pelvis_position_y,Pelvis_position_z,Chest_position_x,Chest_position_y,Chest_position_z,Head_position_x,Head_position_y,Head_position_z,LeftUpperLeg_position_x,LeftUpperLeg_position_y,LeftUpperLeg_position_z,LeftLowerLeg_position_x,LeftLowerLeg_position_y,LeftLowerLeg_position_z,LeftFoot_position_x,LeftFoot_position_y,LeftFoot_position_z,RightUpperLeg_position_x,RightUpperLeg_position_y,RightUpperLeg_position_z,RightLowerLeg_position_x,RightLowerLeg_position_y,RightLowerLeg_position_z,RightFoot_position_x,RightFoot_position_y,RightFoot_position_z,LeftShoulder_position_x,LeftShoulder_position_y,LeftShoulder_position_z,LeftUpperArm_position_x,LeftUpperArm_position_y,LeftUpperArm_position_z,LeftForeArm_position_x,LeftForeArm_position_y,LeftForeArm_position_z,RightShoulder_position_x,RightShoulder_position_y,RightShoulder_position_z,RightUpperArm_position_x,RightUpperArm_position_y,RightUpperArm_position_z,RightForeArm_position_x,RightForeArm_position_y,RightForeArm_position_z,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,RightHand_position_x,RightHand_position_y,RightHand_position_z
0,-0.5025442,0.962679,2.03674e-15,-0.5088996,1.325913,0.05241124,-0.5237862,1.628605,0.1286631,-0.5802244,0.9646197,-0.02286947,-0.5435534,0.539607,-0.09101292,-0.4954571,0.1244622,-0.2042852,-0.4248639,0.9607382,0.02286947,-0.4291888,0.5307024,0.06378962,-0.4173535,0.1167753,-0.06275439,-0.5801954,1.435496,0.1132714,-0.7121643,1.423109,0.1366757,-0.7535591,1.165441,0.1405073,-0.4421454,1.448453,0.08878844,-0.3101765,1.460839,0.06538402,-0.2768557,1.203549,0.09389471,-0.7291061,0.8838564,0.2007892,-0.3049284,0.9545457,0.2378771
33,-0.501801,0.9402227,0.01859909,-0.5079845,1.303611,0.06994697,-0.5228828,1.606536,0.1452665,-0.5793692,0.9421873,-0.004645469,-0.5584911,0.5110146,-0.02132351,-0.4958011,0.1238483,-0.2047936,-0.4242327,0.9382582,0.04184365,-0.4347281,0.5124071,0.1137097,-0.4161898,0.1172759,-0.06240621,-0.579641,1.413539,0.1297522,-0.7118888,1.401564,0.1517542,-0.7524335,1.143789,0.1463484,-0.4412993,1.426066,0.1067363,-0.3090515,1.43804,0.08473423,-0.2763381,1.180433,0.1109958,-0.728929,0.8600385,0.1958961,-0.3022851,0.9274155,0.2482193
67,-0.501708,0.9442377,0.03539487,-0.5077294,1.307761,0.08580337,-0.5226898,1.610891,0.16028,-0.5791311,0.9462444,0.01167487,-0.5521532,0.5177732,-0.03637243,-0.4961639,0.1230766,-0.205396,-0.4242849,0.942231,0.05911487,-0.4356261,0.5136494,0.1121545,-0.414916,0.1177656,-0.06201841,-0.5798112,1.418025,0.1444669,-0.7123596,1.406481,0.1648296,-0.7518674,1.148895,0.1503338,-0.441155,1.430102,0.1231658,-0.3086066,1.441647,0.1028031,-0.2766042,1.183693,0.1264037,-0.7296055,0.8635132,0.1901244,-0.299996,0.9266729,0.2564615
100,-0.5023166,0.9450878,0.04689008,-0.5082977,1.308641,0.09708246,-0.5234101,1.611822,0.1713214,-0.5796008,0.9471524,0.02272632,-0.5481839,0.5220912,-0.04770049,-0.4964199,0.1223685,-0.2059137,-0.4250324,0.9430232,0.07105384,-0.4359026,0.5133231,0.1142236,-0.414646,0.1182515,-0.06171879,-0.580751,1.419066,0.154983,-0.7135214,1.407789,0.1740054,-0.7521335,1.150509,0.1530927,-0.4418626,1.430861,0.135084,-0.3090923,1.442137,0.1160616,-0.2774405,1.183946,0.1374302,-0.7310087,0.8642339,0.1865848,-0.2988327,0.924053,0.2620077
133,-0.5032097,0.9448739,0.05140181,-0.5093428,1.308289,0.1025684,-0.5247163,1.611267,0.1775773,-0.5803926,0.9470178,0.02692305,-0.5469025,0.5238045,-0.05303328,-0.4962266,0.1219448,-0.206101,-0.4260269,0.9427301,0.07588056,-0.435499,0.5127532,0.1165521,-0.4152702,0.1186138,-0.06158842,-0.5820376,1.418575,0.1604299,-0.7149006,1.407289,0.178788,-0.752948,1.150192,0.1548076,-0.4430523,1.430382,0.1412258,-0.3101893,1.441669,0.1228677,-0.278015,1.183427,0.1428054,-0.7324929,0.8635285,0.1852589,-0.2986292,0.9219114,0.2640737
167,-0.5041693,0.9450963,0.0498768,-0.5106444,1.308164,0.1034127,-0.5263684,1.610634,0.1803752,-0.5813038,0.9473511,0.02525615,-0.5475199,0.5238974,-0.05329089,-0.496146,0.1220037,-0.2060367,-0.4270347,0.9428415,0.07449745,-0.4348808,0.5129337,0.116232,-0.4161076,0.1186135,-0.06166747,-0.5834348,1.417974,0.1620538,-0.7162625,1.406381,0.1804759,-0.7539379,1.14926,0.156175,-0.4444865,1.430101,0.1427826,-0.3116588,1.441694,0.1243604,-0.2778497,1.183587,0.1433216,-0.7335551,0.8624949,0.1857021,-0.2989224,0.9211482,0.2624979
200,-0.5054003,0.9459217,0.04378712,-0.5123442,1.308429,0.100943,-0.5284402,1.610094,0.1809256,-0.582552,0.9483152,0.01923348,-0.5494338,0.5233388,-0.05092541,-0.4962411,0.1224877,-0.2057738,-0.4282486,0.9435282,0.06834075,-0.4339761,0.5138643,0.112839,-0.4171324,0.1181005,-0.06202216,-0.5850876,1.417463,0.1610716,-0.7177725,1.405322,0.1801583,-0.7550206,1.148001,0.1573611,-0.4462886,1.430163,0.1411052,-0.3136038,1.442303,0.1220184,-0.2772645,1.184461,0.1398723,-0.7342535,0.861317,0.187403,-0.2995393,0.9212593,0.2571319
233,-0.5069831,0.9469237,0.03594363,-0.5144262,1.308716,0.09740414,-0.5308294,1.609383,0.1810006,-0.5842208,0.9494572,0.01167608,-0.5517284,0.5229202,-0.04861046,-0.4964683,0.123127,-0.2054569,-0.4297454,0.9443902,0.06021119,-0.4332968,0.5150156,0.1076333,-0.4180512,0.1171637,-0.06257413,-0.586996,1.416795,0.1594363,-0.7194612,1.40397,0.179572,-0.7562618,1.146403,0.1589227,-0.4484269,1.430212,0.1383726,-0.3159617,1.443037,0.1182367,-0.2768854,1.185489,0.1344765,-0.7349302,0.8598875,0.190154,-0.3002464,0.9213661,0.2494314
267,-0.5086787,0.9478598,0.03004229,-0.5165889,1.308906,0.0956877,-0.5332094,1.608558,0.1828127,-0.5860479,0.9504982,0.006208489,-0.5534121,0.5231982,-0.04832277,-0.496685,0.1236281,-0.205214,-0.4313096,0.9452214,0.05387609,-0.4334287,0.5159732,0.1025132,-0.4184546,0.116182,-0.06311241,-0.5889232,1.416027,0.1596286,-0.7211422,1.402509,0.1808972,-0.7577636,1.144799,0.1617726,-0.4506115,1.430167,0.1373798,-0.3183925,1.443685,0.1161111,-0.2771039,1.186354,0.130166,-0.735879,0.8583966,0.1936532,-0.3006145,0.9209765,0.2421634
300,-0.5103012,0.9488331,0.02761478,-0.5187038,1.309181,0.09693444,-0.5355501,1.607901,0.1871628,-0.5878087,0.9515223,0.004240463,-0.5540167,0.5244014,-0.05098512,-0.4967759,0.1238293,-0.2051103,-0.4327937,0.9461439,0.05098909,-0.4343919,0.5167252,0.09811717,-0.4182584,0.1153601,-0.06354538,-0.5908347,1.415423,0.1625492,-0.7228219,1.401255,0.1848117,-0.7596998,1.143546,0.1661731,-0.4527656,1.430244,0.1392607,-0.3207785,1.444411,0.1169981,-0.2779292,1.187212,0.12856,-0.7372273,0.8571191,0.1974193,-0.3004131,0.9202863,0.2370344
