Timestamp,LeftHip_pitch,LeftHip_roll,LeftHip_yaw,LeftKnee_flexion,LeftAnkle_pitch,LeftAnkle_roll,RightHip_pitch,RightHip_roll,RightHip_yaw,RightKnee_flexion,RightAnkle_pitch,RightAnkle_roll,LeftShoulder_pitch,LeftShoulder_roll,LeftShoulder_yaw,LeftElbow_flexion,RightShoulder_pitch,RightShoulder_roll,RightShoulder_yaw,RightElbow_flexion,LeftWrist_pronation,RightWrist_pronation,Waist_yaw
0,4.216679,-3.465236,-2.060516,6.305837,-5.030222,-4.390464,19.71169,2.349408,10.88034,22.53444,-0.4201138,0.422787,0.5804718,18.70211,-39.08104,17.91023,20.19704,1.114345,-37.34121,26.95401,0.0,0.0,-5.222010000000001
33,11.23573,-3.40595,-1.984949,23.68138,5.496793,-3.965914,23.74172,2.773211,9.896086,33.81358,6.417379,0.6478994,-0.9153573,17.8273,-39.23962,17.5389,19.36422,1.353063,-36.86699,25.75895,0.0,0.0,-6.1439499999999985
67,6.82892,-2.963111,-3.167123,17.14058,3.580859,-3.558365,21.18821,2.030916,9.115787,31.08458,5.938547,0.8531045,-2.124122,16.81703,-38.85139,17.20596,18.46754,1.58041,-36.05111,24.53251,0.0,0.0,-7.240066999999998
100,3.732188,-2.626997,-4.073138,12.42435,2.267104,-3.348704,19.86379,1.785372,9.24212,30.03609,5.969593,0.9358863,-2.759673,16.02865,-38.13272,16.99154,17.81256,1.769567,-35.37035,23.66381,0.0,0.0,-8.162531999999999
133,2.563077,-2.514103,-4.201045,10.35699,1.731218,-3.294849,19.63646,1.942853,10.09627,29.97596,6.097476,0.8750131,-2.898473,15.68151,-37.66332,16.84853,17.513,1.992036,-35.50237,23.27913,0.0,0.0,-8.665811999999999
167,3.098952,-2.664675,-4.208311,10.5118,1.683188,-3.367836,20.07543,2.279315,10.965,30.0277,6.040788,0.7454271,-2.645453,15.73013,-37.68236,16.70036,17.46193,2.340925,-36.77101,23.2874,0.0,-0.01978234,-8.692160000000001
200,4.77278,-3.029985,-4.125545,11.98594,1.796567,-3.508987,20.91212,2.750384,11.85041,29.89375,5.818407,0.5913732,-2.022456,15.98343,-37.91932,16.53162,17.48706,2.831928,-38.90548,23.54735,0.0,0.0,-8.274869999999998
233,6.747152,-3.485297,-3.924159,13.64327,1.826706,-3.639912,21.88329,3.21808,12.47316,29.56409,5.569437,0.481415,-1.211762,16.30489,-38.08987,16.3829,17.48322,3.352111,-41.1722,23.86899,0.0,0.0,-7.511431999999999
267,8.152445,-3.85519,-3.58976,14.44448,1.635901,-3.694836,22.65719,3.486165,12.4672,29.05059,5.369618,0.4567223,-0.6110179,16.68234,-38.25627,16.30019,17.41916,3.745961,-42.88327,24.02811,0.0,0.0,-6.599669999999998
300,8.620357,-4.059007,-3.17083,13.95051,1.177859,-3.670285,23.04561,3.493921,11.83335,28.29297,5.204733,0.5059516,-0.4973219,17.2019,-38.73965,16.28388,17.3255,3.973058,-43.88749,23.93336,0.0,0.0,-5.728399999999999
333,8.504152,-4.159582,-2.720453,12.49727,0.4722982,-3.621268,23.15061,3.354073,10.93965,27.18276,5.045506,0.5822604,-0.8432553,18.03977,-39.84164,16.32848,17.34291,4.097825,-44.46276,23.71501,0.0,0.0,-4.952060000000001
